MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TYPE,CHLA,R
3814,COCHNEWAGON P,1,7/22/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,7/22/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,7/22/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,7/22/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/4/2021,CW,6,C,10,1
3814,COCHNEWAGON P,1,8/10/2021,CW,,,,
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,1
3814,COCHNEWAGON P,1,8/18/2021,CW,5,C,5,2
3814,COCHNEWAGON P,1,9/1/2021,CW,5.5,C,7,1
3814,COCHNEWAGON P,1,9/1/2021,CW,5.5,C,7,1
3814,COCHNEWAGON P,1,9/1/2021,CW,5.5,C,7,1
3814,COCHNEWAGON P,1,9/1/2021,CW,5.5,C,7,1
3814,COCHNEWAGON P,1,9/1/2021,CW,5.5,C,7,1
