MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,TP_PPM,DEPTH,R,TYPE
98,NARROWS P (UPPER),1,2003-07-28,CW,0.022,7,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.024,17,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.006,5,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.011,11,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.013,9,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.017,7,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.018,13,1,G
98,NARROWS P (UPPER),1,2003-08-27,CW,0.038,16,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.014,9,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.015,5,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.016,7,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.016,11,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.024,3,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.039,1,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.043,15,1,G
98,NARROWS P (UPPER),1,2003-09-29,CW,0.13,18,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.008,9,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.009,7,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.01,5,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.016,11,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.024,1,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.028,13,1,G
98,NARROWS P (UPPER),1,2003-10-24,CW,0.047,3,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.009,7,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.01,11,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.011,17,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.012,3,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.012,14,1,G
98,NARROWS P (UPPER),1,2006-06-07,CW,0.013,5,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.008,7,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.008,9,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.01,1,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.01,14,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.011,5,2,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.013,5,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.016,3,1,G
98,NARROWS P (UPPER),1,2006-07-06,CW,0.022,17,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.008,7,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.008,9,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.01,11,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.012,1,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.015,3,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.017,14,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.023,17,1,G
98,NARROWS P (UPPER),1,2006-08-03,CW,0.028,5,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.009,7,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.011,9,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.011,11,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.012,5,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.02,14,1,G
98,NARROWS P (UPPER),1,2006-09-05,CW,0.065,17,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.008,7,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.011,5,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.012,1,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.012,3,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.018,11,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.041,14,1,G
98,NARROWS P (UPPER),1,2006-10-09,CW,0.068,17,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.005,5,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.006,1,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.006,3,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.006,7,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.007,15,1,G
98,NARROWS P (UPPER),1,2009-05-20,CW,0.008,10,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.004,5,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.004,10,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.005,1,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.006,15,1,G
98,NARROWS P (UPPER),1,2009-06-11,CW,0.008,7,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.004,10,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.005,7,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.006,1,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.006,3,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.006,5,1,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.006,5,2,G
98,NARROWS P (UPPER),1,2009-07-14,CW,0.007,15,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.005,7,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.006,3,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.006,10,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.008,5,1,G
98,NARROWS P (UPPER),1,2009-08-10,CW,0.011,15,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.004,5,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.005,7,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.006,3,2,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.008,10,1,G
98,NARROWS P (UPPER),1,2009-09-30,CW,0.017,15,1,G
98,NARROWS P (UPPER),1,2009-10-29,CW,0.007,5,1,G
98,NARROWS P (UPPER),1,2009-10-29,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2009-10-29,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2009-10-29,CW,0.009,10,1,G
98,NARROWS P (UPPER),1,2009-10-29,CW,0.021,15,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.009,15,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.01,1,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.011,5,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.011,10,1,G
98,NARROWS P (UPPER),1,2012-06-12,CW,0.012,5,2,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.006,3,1,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.008,10,1,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.009,15,1,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.018,5,2,G
98,NARROWS P (UPPER),1,2012-07-19,CW,0.02,5,1,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.005,10,1,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.006,1,1,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.006,3,1,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.007,5,1,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.007,5,2,G
98,NARROWS P (UPPER),1,2012-08-20,CW,0.013,15,1,G
98,NARROWS P (UPPER),1,2012-09-20,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2012-09-20,CW,0.005,5,1,G
98,NARROWS P (UPPER),1,2012-09-20,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2012-09-20,CW,0.008,10,1,G
98,NARROWS P (UPPER),1,2012-09-20,CW,0.022,15,1,G
98,NARROWS P (UPPER),1,2012-10-25,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2012-10-25,CW,0.008,3,1,G
98,NARROWS P (UPPER),1,2012-10-25,CW,0.011,10,1,G
98,NARROWS P (UPPER),1,2012-10-25,CW,0.012,5,1,G
98,NARROWS P (UPPER),1,2012-10-25,CW,0.044,15,1,G
98,NARROWS P (UPPER),1,2013-06-27,CW,0.007,7,1,C
98,NARROWS P (UPPER),1,2013-06-27,CW,0.008,15,1,G
98,NARROWS P (UPPER),1,2013-07-25,CW,0.008,5,1,C
98,NARROWS P (UPPER),1,2013-07-25,CW,0.008,15,1,G
98,NARROWS P (UPPER),1,2013-08-23,CW,0.009,4.5,1,C
98,NARROWS P (UPPER),1,2013-08-23,CW,0.013,15,1,G
98,NARROWS P (UPPER),1,2013-08-23,CW,0.013,15,2,G
98,NARROWS P (UPPER),1,2013-09-18,CW,0.008,10,1,G
98,NARROWS P (UPPER),1,2013-09-18,CW,0.01,6,1,C
98,NARROWS P (UPPER),1,2013-09-18,CW,0.014,15,1,G
98,NARROWS P (UPPER),1,2014-05-30,CW,0.007,6,1,C
98,NARROWS P (UPPER),1,2014-05-30,CW,0.008,15,1,G
98,NARROWS P (UPPER),1,2014-06-19,CW,0.008,15,1,G
98,NARROWS P (UPPER),1,2014-06-19,CW,0.009,6,1,C
98,NARROWS P (UPPER),1,2014-07-17,CW,0.008,15,1,G
98,NARROWS P (UPPER),1,2014-07-17,CW,0.011,7,1,C
98,NARROWS P (UPPER),1,2014-08-28,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2014-08-28,CW,0.01,15,1,G
98,NARROWS P (UPPER),1,2014-10-07,CW,0.007,7,1,C
98,NARROWS P (UPPER),1,2014-10-07,CW,0.012,15,1,G
98,NARROWS P (UPPER),1,2015-06-03,CW,0.01,8,1,C
98,NARROWS P (UPPER),1,2015-06-03,CW,0.01,15,1,G
98,NARROWS P (UPPER),1,2015-06-17,CW,0.009,7,1,C
98,NARROWS P (UPPER),1,2015-06-17,CW,0.009,15,1,G
98,NARROWS P (UPPER),1,2015-07-27,CW,0.008,8,1,C
98,NARROWS P (UPPER),1,2015-07-27,CW,0.012,15,1,G
98,NARROWS P (UPPER),1,2015-08-27,CW,0.007,7,1,C
98,NARROWS P (UPPER),1,2015-08-27,CW,0.017,15,1,G
98,NARROWS P (UPPER),1,2015-10-27,CW,0.008,9,2,C
98,NARROWS P (UPPER),1,2015-10-27,CW,0.01,9,1,C
98,NARROWS P (UPPER),1,2015-10-27,CW,0.076,17,1,G
98,NARROWS P (UPPER),1,2016-05-19,CW,0.007,9,1,C
98,NARROWS P (UPPER),1,2016-06-07,CW,0.008,6,1,C
98,NARROWS P (UPPER),1,2016-07-12,CW,0.014,7,1,C
98,NARROWS P (UPPER),1,2016-08-15,CW,0.008,8,1,C
98,NARROWS P (UPPER),1,2016-09-22,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2017-05-30,CW,0.01,8,1,C
98,NARROWS P (UPPER),1,2017-06-30,CW,0.009,6,1,C
98,NARROWS P (UPPER),1,2017-07-26,CW,0.007,6,1,C
98,NARROWS P (UPPER),1,2017-08-29,CW,0.006,6,1,C
98,NARROWS P (UPPER),1,2017-09-28,CW,0.008,9,1,C
98,NARROWS P (UPPER),1,2017-09-28,CW,0.008,9,2,C
98,NARROWS P (UPPER),1,2017-09-28,CW,0.047,17,1,G
98,NARROWS P (UPPER),1,2018-05-31,CW,0.008,6,1,C
98,NARROWS P (UPPER),1,2018-05-31,CW,0.009,6,2,C
98,NARROWS P (UPPER),1,2018-06-29,CW,0.01,7,1,C
98,NARROWS P (UPPER),1,2018-07-19,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2018-07-19,CW,0.008,7,2,C
98,NARROWS P (UPPER),1,2018-08-28,CW,0.008,8,1,C
98,NARROWS P (UPPER),1,2018-08-28,CW,0.019,12,1,G
98,NARROWS P (UPPER),1,2018-08-28,CW,0.084,17,1,G
98,NARROWS P (UPPER),1,2018-09-13,CW,0.007,8,1,C
98,NARROWS P (UPPER),1,2018-09-13,CW,0.014,12,1,G
98,NARROWS P (UPPER),1,2018-09-13,CW,0.12,17,1,G
98,NARROWS P (UPPER),1,2018-11-09,CW,0.01,9,1,C
98,NARROWS P (UPPER),1,2018-11-09,CW,0.13,17,1,G
98,NARROWS P (UPPER),1,2019-07-15,CW,0.008,5,1,C
98,NARROWS P (UPPER),1,2019-08-15,CW,0.007,6,1,C
98,NARROWS P (UPPER),1,2019-08-15,CW,0.014,12,1,G
98,NARROWS P (UPPER),1,2019-08-15,CW,0.057,17,1,G
98,NARROWS P (UPPER),1,2019-09-19,CW,0.009,6.5,1,C
98,NARROWS P (UPPER),1,2019-09-19,CW,0.023,12,1,g
98,NARROWS P (UPPER),1,2019-09-19,CW,0.11,17,1,g
98,NARROWS P (UPPER),1,2019-10-24,CW,0.008,9,1,C
98,NARROWS P (UPPER),1,2019-10-24,CW,0.028,12,1,G
98,NARROWS P (UPPER),1,2019-10-24,CW,0.1,17,1,G
98,NARROWS P (UPPER),1,2020-08-31,CW,0.005,7,1,C
98,NARROWS P (UPPER),1,2020-08-31,CW,0.08,17,1,G
98,NARROWS P (UPPER),1,2020-10-06,CW,0.006,7.5,1,C
98,NARROWS P (UPPER),1,2020-10-06,CW,0.021,10,1,G
98,NARROWS P (UPPER),1,2020-10-06,CW,0.1,17,1,G
98,NARROWS P (UPPER),1,2020-11-09,CW,0.011,9,1,C
98,NARROWS P (UPPER),1,2020-11-09,CW,0.011,12,1,G
98,NARROWS P (UPPER),1,2020-11-09,CW,0.062,17,1,G
103,NARROWS P (LOWER),1,2000-05-17,CW,0.013,10,1,C
103,NARROWS P (LOWER),1,2000-06-26,CW,0.01,5,1,C
103,NARROWS P (LOWER),1,2000-07-18,CW,0.008,6,1,C
103,NARROWS P (LOWER),1,2000-08-22,CW,0.006,6,1,C
103,NARROWS P (LOWER),1,2000-09-19,CW,0.007,7,1,C
103,NARROWS P (LOWER),1,2000-10-19,CW,0.008,10,1,C
103,NARROWS P (LOWER),1,2003-06-11,CW,0.009,10,1,C
103,NARROWS P (LOWER),1,2003-07-07,CW,0.007,5,1,C
103,NARROWS P (LOWER),1,2003-07-07,CW,0.007,5,2,C
103,NARROWS P (LOWER),1,2003-08-06,CW,0.007,6,1,C
103,NARROWS P (LOWER),1,2003-09-30,CW,0.007,8,1,C
