MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TP_PPM,TYPE,R,UNIT,QUAL
5254,PLEASANT (MUD) P,1,7/6/2021,CW,5.5,0.017,C,1,,
5254,PLEASANT (MUD) P,1,7/6/2021,CW,7,0.059,G,1,,
5254,PLEASANT (MUD) P,1,7/6/2021,CW,8.3,0.097,G,1,,
5254,PLEASANT (MUD) P,3,7/6/2021,CW,3,0.023,C,1,,
5254,PLEASANT (MUD) P,3,8/6/2021,CW,3,0.026,C,2,,
5254,PLEASANT (MUD) P,1,8/6/2021,CW,8.5,0.19,G,1,,
5254,PLEASANT (MUD) P,3,8/6/2021,CW,0.5,0.024,G,1,,
5254,PLEASANT (MUD) P,1,8/6/2021,CW,7,0.062,G,1,,
5254,PLEASANT (MUD) P,1,8/6/2021,CW,5,0.018,G,1,,
5254,PLEASANT (MUD) P,1,8/6/2021,CW,3,0.022,G,1,,
5254,PLEASANT (MUD) P,1,8/6/2021,CW,1,0.018,G,1,,
5254,PLEASANT (MUD) P,3,8/6/2021,CW,3,0.026,C,1,,
5254,PLEASANT (MUD) P,1,8/26/2021,CW,,,,,,
5254,PLEASANT (MUD) P,1,9/16/2021,CW,1,0.021,G,1,,
5254,PLEASANT (MUD) P,1,9/16/2021,CW,3,0.024,G,1,,
5254,PLEASANT (MUD) P,1,9/16/2021,CW,5,0.021,G,1,,
5254,PLEASANT (MUD) P,1,9/16/2021,CW,8.3,0.19,G,1,,
5254,PLEASANT (MUD) P,3,9/16/2021,CW,3.5,0.022,C,1,,
5254,PLEASANT (MUD) P,3,9/16/2021,CW,3.5,0.02,C,2,,
5254,PLEASANT (MUD) P,1,9/16/2021,CW,7,0.024,G,1,,
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,0.022,C,1,,
5254,PLEASANT (MUD) P,3,10/8/2021,CW,3,0.022,C,2,,
5254,PLEASANT (MUD) P,1,10/8/2021,CW,7,0.02,G,1,,
5254,PLEASANT (MUD) P,1,10/8/2021,CW,8.2,0.062,G,1,,
5254,PLEASANT (MUD) P,3,10/8/2021,CW,3,0.02,C,1,,
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,0.019,G,1,,
5250,PURGATORY P (LITTLE),1,7/29/2021,CW,,,,,,
5250,PURGATORY P (LITTLE),1,8/31/2021,CW,,,,,,
5250,PURGATORY P (LITTLE),1,10/15/2021,CW,,,,,,
