"lake","midas","station","date","time","agency","project","depth","type","ph","phmeth","phlab","color","aort","colrmeth","colrlab","conduct","condmeth","condlab","alk","alkmeth","alklab","sampleid","year","month"
"annabessacook",9961,1,1990-07-11,"0:00:00","cw",3,6,"c",7.1,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1990-07-11_cw",1990,7
"annabessacook",9961,1,1990-08-01,"0:00:00","cw",3,5,"c",7.3,"c","cwd",32,"a","n","cwd",NA,NA,NA,NA,NA,NA,"9961_1_1990-08-01_cw",1990,8
"annabessacook",9961,1,1990-08-28,"0:00:00","cw",3,6,"c",7.6,"c","cwd",NA,NA,NA,NA,NA,NA,NA,16.6,"c","cwd","9961_1_1990-08-28_cw",1990,8
"annabessacook",9961,1,1990-08-28,"0:00:00","cw",3,6,"g",6.7,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1990-08-28_cw",1990,8
"annabessacook",9961,1,1990-08-28,"0:00:00","cw",3,12,"g",6.7,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1990-08-28_cw",1990,8
"annabessacook",9961,1,1990-09-20,"0:00:00","cw",3,9,"c",6.9,"c","cwd",NA,NA,NA,NA,NA,NA,NA,18.2,"c","cwd","9961_1_1990-09-20_cw",1990,9
"annabessacook",9961,1,1990-10-16,"0:00:00","cw",3,10,"c",7.1,"c","cwd",NA,NA,NA,NA,NA,NA,NA,16.6,"c","cwd","9961_1_1990-10-16_cw",1990,10
"annabessacook",9961,1,1991-05-20,"0:00:00","ei",3,8,"c",7,"e","dep",NA,NA,NA,NA,NA,NA,NA,16.1,"m","dep","9961_1_1991-05-20_ei",1991,5
"annabessacook",9961,1,1991-06-12,"0:00:00","cw",3,5,"c",7.1,"c","cwd",NA,NA,NA,NA,NA,NA,NA,15,"c","cwd","9961_1_1991-06-12_cw",1991,6
"annabessacook",9961,1,1991-07-02,"0:00:00","cw",3,6,"c",7.1,"c","cwd",NA,NA,NA,NA,NA,NA,NA,16.7,"c","cwd","9961_1_1991-07-02_cw",1991,7
"annabessacook",9961,1,1991-07-10,"0:00:00","cw",3,7,"c",6.9,"c","cwd",NA,NA,NA,NA,NA,NA,NA,19.4,"c","cwd","9961_1_1991-07-10_cw",1991,7
"annabessacook",9961,1,1991-07-29,"0:00:00","cw",3,5,"c",7.3,"c","cwd",NA,NA,NA,NA,NA,NA,NA,16.7,"c","cwd","9961_1_1991-07-29_cw",1991,7
"annabessacook",9961,1,1991-08-13,"0:00:00","cw",3,7,"c",7.1,"c","cwd",NA,NA,NA,NA,NA,NA,NA,22.2,"c","cwd","9961_1_1991-08-13_cw",1991,8
"annabessacook",9961,1,1991-08-27,"0:00:00","cw",3,0.1,"c",7.5,"c","cwd",NA,NA,NA,NA,NA,NA,NA,16.7,"c","cwd","9961_1_1991-08-27_cw",1991,8
"annabessacook",9961,1,1991-09-24,"0:00:00","cw",3,0,"g",6.7,"c","cwd",NA,NA,NA,NA,NA,NA,NA,19,"c","cwd","9961_1_1991-09-24_cw",1991,9
"annabessacook",9961,1,1991-09-24,"0:00:00","cw",3,8,"c",6.9,"c","cwd",NA,NA,NA,NA,NA,NA,NA,19,"c","cwd","9961_1_1991-09-24_cw",1991,9
"annabessacook",9961,1,1992-05-12,"0:00:00","cw",3,10,"c",6.9,"h","cwd",NA,NA,NA,NA,NA,NA,NA,15.5,"c","cwd","9961_1_1992-05-12_cw",1992,5
"annabessacook",9961,1,1992-06-02,"0:00:00","cw",3,7,"c",7.1,"h","cwd",NA,NA,NA,NA,NA,NA,NA,15.5,"c","cwd","9961_1_1992-06-02_cw",1992,6
"annabessacook",9961,1,1992-07-07,"0:00:00","cw",3,6,"c",7.1,"h","cwd",NA,NA,NA,NA,NA,NA,NA,16,"c","cwd","9961_1_1992-07-07_cw",1992,7
"annabessacook",9961,1,1992-08-06,"0:00:00","cw",3,6,"c",7.2,"h","cwd",NA,NA,NA,NA,NA,NA,NA,16.5,"c","cwd","9961_1_1992-08-06_cw",1992,8
"annabessacook",9961,1,1992-09-01,"0:00:00","cw",3,6,"c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"c","cwd","9961_1_1992-09-01_cw",1992,9
"annabessacook",9961,1,1992-10-07,"0:00:00","cw",3,10,"c",7.1,"h","cwd",NA,NA,NA,NA,NA,NA,NA,19.5,"c","cwd","9961_1_1992-10-07_cw",1992,10
"annabessacook",9961,1,1993-05-11,"0:00:00","cw",3,5,"c",6.9,"c","cwd",NA,NA,NA,NA,NA,NA,NA,17,"c","cwd","9961_1_1993-05-11_cw",1993,5
