"midas","lake","basin","date","agency","tp_ppm","depth","r","type","year","month","sampleid"
"98","narrows upper",1,2002-09-06,"cw",0.007,5,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.007,7,1,"c",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.009,9,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.009,11,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.01,7,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.01,11,2,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.013,15,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.04,18,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-10-04,"cw",0.007,1,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.007,7,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.008,5,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.008,7,1,"c",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.01,11,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.011,3,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.012,9,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.014,9,2,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.019,15,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-04,"cw",0.022,18,1,"g",2002,10,"98_1_2002-10-04"
"98","narrows upper",1,2002-10-21,"cw",0.008,1,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.008,5,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.008,5,2,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.008,7,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.009,3,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.009,9,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.009,10,1,"c",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.017,11,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.018,15,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-10-21,"cw",0.061,18,1,"g",2002,10,"98_1_2002-10-21"
"98","narrows upper",1,2002-11-12,"cw",0.01,7,2,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.011,5,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.011,7,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.011,9,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.011,10,1,"c",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.011,17,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.012,3,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.012,11,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.012,15,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2002-11-12,"cw",0.017,1,1,"g",2002,11,"98_1_2002-11-12"
"98","narrows upper",1,2003-06-23,"cw",0.009,1,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.009,3,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.011,7,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.011,9,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.015,11,1,"g",2003,6,"98_1_2003-06-23"
