"sampID","midas","lake","station","date","time","agency","project","db","secchi","rep","seccbot","scope","surveyors","qa_cert","windvel","winddir","cloudcvr","lat","long","gloeo","comments","dups"
"5238_1_2021-06-22_cw",5238,"sand",1,2021-06-22,NA,"cw",3,"cwd21",6.54,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",5,8,"2","441038.5","695816.8",NA,NA,"5238_1_2021-06-22_6.54_bu-0773_1"
"5238_1_2021-06-22_cw",5238,"sand",1,2021-06-22,NA,"cw",3,"cwd21",6.34,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",5,8,"2","441038.5","695816.8",NA,NA,"5238_1_2021-06-22_6.34_de-0023_1"
"9961_1_2021-06-23_cw",9961,"annabessacook",1,2021-06-23,NA,"cw",3,"cwd21",6.93,1,"n",4,"burton, ryan,dennis. wendy,NA,NA","de-0023",11,8,"0","441541.5","695919.6",NA,NA,"9961_1_2021-06-23_6.93_de-0023_1"
"9961_2_2021-06-23_cw",9961,"annabessacook",2,2021-06-23,NA,"cw",3,"cwd21",6.34,1,"y",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",4,1,"0","441722","695831.1",NA,NA,"9961_2_2021-06-23_6.34_de-0023_1"
"5236_2_2021-06-28_cw",5236,"cobbossee",2,2021-06-28,NA,"cw",3,"cwd21",7.43,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",3,6,"0","44190.6","695258.3",NA,NA,"5236_2_2021-06-28_7.43_de-0023_1"
"5312_2_2021-06-28_ei",5312,"maranacook",2,2021-06-28,NA,"ei",3,"cwd21",5.2,1,"n",4,"dodge, edward,,NA,NA","do-0532",2,8,"0","0","0",NA,NA,"5312_2_2021-06-28_5.2_do-0532_1"
"5236_1_2021-06-28_cw",5236,"cobbossee",1,2021-06-28,NA,"cw",3,"cwd21",7.4,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",4,6,"0","441500.6","695633.5",NA,NA,"5236_1_2021-06-28_7.4_de-0023_1"
"5236_2_2021-06-28_cw",5236,"cobbossee",2,2021-06-28,NA,"cw",3,"cwd21",7.84,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",3,6,"0","44190.6","695258.3",NA,NA,"5236_2_2021-06-28_7.84_bu-0773_1"
"5307_1_2021-06-29_cw",5307,"torsey",1,2021-06-29,NA,"cw",3,"cwd21",6.2,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",7,8,"0","442543.1","695846.8",NA,NA,"5307_1_2021-06-29_6.2_bu-0773_1"
"5307_1_2021-06-29_cw",5307,"torsey",1,2021-06-29,NA,"cw",3,"cwd21",6.3,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",7,8,"0","442543.1","695846.8",NA,NA,"5307_1_2021-06-29_6.3_de-0023_1"
"3814_1_2021-06-30_cw",3814,"cochnewagon",1,2021-06-30,NA,"cw",3,"cwd21",5.9,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",5,5,"0","441355.5","700242.6",NA,NA,"3814_1_2021-06-30_5.9_de-0023_1"
"3814_1_2021-06-30_cw",3814,"cochnewagon",1,2021-06-30,NA,"cw",3,"cwd21",6.18,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",5,5,"0","441355.5","700242.6",NA,NA,"3814_1_2021-06-30_6.18_bu-0773_1"
"9961_1_2021-07-01_ei",9961,"annabessacook",1,2021-07-01,NA,"ei",3,"cwd21",6.05,1,"n",4,"becker, michael,,NA,NA","be-0780",5,1,"1","0","0",NA,NA,"9961_1_2021-07-01_6.05_be-0780_1"
"3828_1_2021-07-01_cw",3828,"berry",1,2021-07-01,NA,"cw",3,"cwd21",6.1,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,7,"2","442007.6","700119.2",NA,NA,"3828_1_2021-07-01_6.1_de-0023_1"
"3828_1_2021-07-01_cw",3828,"berry",1,2021-07-01,NA,"cw",3,"cwd21",6.07,2,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,7,"2","442007.6","700119.2",NA,NA,"3828_1_2021-07-01_6.07_de-0023_2"
"8065_1_2021-07-01_cw",8065,"little cobbossee",1,2021-07-01,NA,"cw",3,"cwd21",3.01,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,8,"1","441942.6","695304.6",NA,NA,"8065_1_2021-07-01_3.01_de-0023_1"
"98_1_2021-07-01_cw",98,"narrows upper",1,2021-07-01,NA,"cw",3,"cwd21",6.38,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,1,"1","441836.3","695623.3",NA,NA,"98_1_2021-07-01_6.38_de-0023_1"
"5312_1_2021-07-05_ei",5312,"maranacook",1,2021-07-05,NA,"ei",3,"cwd21",7.8,1,"n",4,"gerstein, shelly,mettey, gale,NA,NA","me-2647",9,6,"0","0","0",NA,NA,"5312_1_2021-07-05_7.8_me-2647_1"
"5312_1_2021-07-05_ei",5312,"maranacook",1,2021-07-05,NA,"ei",3,"cwd21",7.7,1,"n",4,"gerstein, shelly,mettey, gale,NA,NA","ge-2646",9,6,"0","0","0",NA,NA,"5312_1_2021-07-05_7.7_ge-2646_1"
"5254_1_2021-07-06_cw",5254,"pleasant",1,2021-07-06,NA,"cw",3,"cwd21",3.46,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",5,6,"1","440906.8","695244.1",NA,NA,"5254_1_2021-07-06_3.46_de-0023_1"
