"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TEMP","OXYGEN","OXYMETH","METER","CALIB"
"Annabessacook",9961,2,2022-08-16,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,1,2022-08-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,1,2022-08-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,2,2022-09-09,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,2,2022-09-09,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,2,2022-09-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Annabessacook",9961,2,2022-09-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Berry",3828,1,2022-09-06,"CW",3,0,22.1,8,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,1,22.1,7.7,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,2,22.1,7.7,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,3,22.1,7.7,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,4,22,7.5,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,5,21,4,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,6,16.2,0.2,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,7,13.1,0.1,"M","other","Y"
"Berry",3828,1,2022-09-06,"CW",3,8,11.9,0,"M","other","Y"
"Buker",5242,1,2022-05-25,"CW",3,NA,NA,NA,"M",NA,"Y"
"Buker",5242,1,2022-07-29,"CW",3,NA,NA,NA,"M",NA,"Y"
"Buker",5242,1,2022-08-04,"CW",3,NA,NA,NA,"M",NA,"Y"
"Buker",5242,1,2022-08-12,"CW",3,NA,NA,NA,"M",NA,"Y"
"Buker",5242,1,2022-09-04,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-10,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-10,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-15,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-15,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-17,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-17,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-27,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-07-27,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-08-01,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-08-01,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-08-14,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-08-14,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-03,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-03,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-09,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-09,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-09-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-10,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-10,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-16,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-16,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-30,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cobbossee",5236,1,2022-10-30,"CW",3,NA,NA,NA,"M",NA,"Y"
