"LAKNAM","MIDAS","STATION","SAMPDATE","METER","DEPTH","QC_TEMP","QC_OXYGEN"
"Annabessacook",9961,1,2022-08-26,NA,NA,NA,NA
"Annabessacook",9961,1,2022-08-26,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-09,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-09,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-30,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-30,NA,NA,NA,NA
"Annabessacook",9961,2,2021-07-26,"YSI52 1",3,27,7.8
"Annabessacook",9961,2,2021-07-26,"YSI52 1",3,27,7.8
"Annabessacook",9961,2,2022-11-07,"YSI52 1",4,13.7,9.4
"Annabessacook",9961,2,2022-11-07,"YSI52 1",4,13.7,9.4
"Annabessacook",9961,2,2022-05-22,NA,NA,NA,NA
"Annabessacook",9961,2,2022-05-22,NA,NA,NA,NA
"Annabessacook",9961,2,2022-06-17,NA,NA,NA,NA
"Annabessacook",9961,2,2022-06-17,NA,NA,NA,NA
"Annabessacook",9961,2,2022-06-26,NA,NA,NA,NA
"Annabessacook",9961,2,2022-06-26,NA,NA,NA,NA
"Annabessacook",9961,1,2022-07-27,NA,NA,NA,NA
"Annabessacook",9961,1,2022-07-27,NA,NA,NA,NA
"Annabessacook",9961,2,2022-08-10,NA,NA,NA,NA
"Annabessacook",9961,2,2022-08-10,NA,NA,NA,NA
"Annabessacook",9961,2,2022-08-16,NA,NA,NA,NA
"Annabessacook",9961,2,2022-08-16,NA,NA,NA,NA
"Annabessacook",9961,1,2022-08-30,NA,NA,NA,NA
"Annabessacook",9961,1,2022-08-30,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-09,NA,NA,NA,NA
"Annabessacook",9961,1,2022-09-09,NA,NA,NA,NA
"Annabessacook",9961,2,2022-09-30,NA,NA,NA,NA
"Annabessacook",9961,2,2022-09-30,NA,NA,NA,NA
"Berry",3828,1,2022-09-06,"other",2,22.1,7.6
"Buker",5242,1,2022-05-25,NA,NA,NA,NA
"Buker",5242,1,2022-07-29,NA,NA,NA,NA
"Buker",5242,1,2022-08-04,NA,NA,NA,NA
"Buker",5242,1,2022-08-12,NA,NA,NA,NA
"Buker",5242,1,2022-09-04,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-10,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-10,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-15,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-15,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-17,NA,NA,NA,NA
"Cobbossee",5236,1,2022-07-17,NA,NA,NA,NA
"Cobbossee",5236,1,2023-07-27,NA,NA,NA,NA
"Cobbossee",5236,1,2023-07-27,NA,NA,NA,NA
"Cobbossee",5236,1,2022-08-01,NA,NA,NA,NA
"Cobbossee",5236,1,2022-08-01,NA,NA,NA,NA
"Cobbossee",5236,1,2022-08-14,NA,NA,NA,NA
"Cobbossee",5236,1,2022-08-14,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-03,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-03,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-09,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-09,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-30,NA,NA,NA,NA
"Cobbossee",5236,1,2022-09-30,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-10,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-10,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-16,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-16,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-30,NA,NA,NA,NA
"Cobbossee",5236,1,2022-10-30,NA,NA,NA,NA
"Cobbossee",5236,1,2022-08-31,"other",NA,NA,NA
"Cobbossee",5236,1,2022-08-31,"other",NA,NA,NA
"Cochnewagon",3814,1,2022-07-07,"YSI52 1",3,26.2,8.2
"Cochnewagon",3814,1,2022-08-31,"other",2,24.9,8.4
"Cochnewagon",3814,1,2022-10-06,"YSI52 1",5,15.9,9.3
"Cochnewagon",3814,1,2022-11-02,"YSI52 1",2,13.2,9.3
"Dexter",3830,1,2022-09-06,"other",2,22.4,7.5
"Cochnewagon",3814,1,2022-06-01,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-06-16,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-07-01,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-07-14,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-07-27,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-08-11,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-08-25,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-09-08,NA,NA,NA,NA
"Cochnewagon",3814,1,2022-09-21,NA,NA,NA,NA
"Horseshoe",5252,1,2022-07-04,NA,NA,NA,NA
"Horseshoe",5252,1,2022-07-18,NA,NA,NA,NA
"Horseshoe",5252,1,2022-07-31,NA,NA,NA,NA
"Horseshoe",5252,1,NA,NA,NA,NA,NA
"Horseshoe",5252,1,2022-08-27,NA,NA,NA,NA
"Horseshoe",5252,1,2022-09-10,NA,NA,NA,NA
"Horseshoe",5252,1,2022-09-25,NA,NA,NA,NA
"Jimmy",5244,1,2022-07-27,NA,NA,NA,NA
"Jimmy",5244,1,2022-08-16,NA,NA,NA,NA
"Jimmy",5244,1,2022-09-02,NA,NA,NA,NA
"Maranacook",5312,1,2022-06-07,NA,NA,NA,NA
"Maranacook",5312,1,2022-06-07,NA,NA,NA,NA
